Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Cibil Score,Property_Area,Loan_Status
LP001994,Female,No,0,Graduate,No,2400,1863,104,360,0,514,Urban,N
LP001213,Male,Yes,1,Graduate,No,4945,0,,360,0,477,Rural,N
LP002448,Male,Yes,0,Graduate,No,3948,1733,149,360,0,513,Rural,N
LP001228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,544,Urban,N
LP002743,Female,No,0,Graduate,No,2138,0,99,360,0,523,Semiurban,N
LP002362,Male,Yes,1,Graduate,No,7250,1667,110,,0,407,Urban,N
LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,489,Semiurban,Y
LP002142,Female,Yes,0,Graduate,Yes,5500,0,105,360,0,396,Rural,N
LP002832,Male,Yes,2,Graduate,No,8799,0,258,360,0,389,Urban,N
LP002287,Female,No,0,Graduate,No,1500,1800,103,360,0,520,Semiurban,N
LP002837,Male,Yes,3+,Graduate,No,3400,2500,123,360,0,397,Rural,N
LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,500,Urban,N
LP002911,Male,Yes,1,Graduate,No,2787,1917,146,360,0,375,Rural,N
LP002315,Male,Yes,1,Graduate,No,8300,0,152,300,0,430,Semiurban,N
LP001241,Female,No,0,Graduate,No,4300,0,136,360,0,396,Semiurban,N
LP001391,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,505,Rural,N
LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,405,Semiurban,Y
LP002443,Male,Yes,2,Graduate,No,3340,1710,150,360,0,379,Rural,N
LP002449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,468,Rural,Y
LP001938,Male,Yes,2,Graduate,No,4400,0,127,360,0,366,Semiurban,N
LP002288,Male,Yes,2,Not Graduate,No,2889,0,45,180,0,426,Urban,N
LP002545,Male,No,2,Graduate,No,3547,0,80,360,0,379,Rural,N
LP001964,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,482,Urban,N
LP002602,Male,No,0,Graduate,No,6283,4416,209,360,0,434,Rural,N
LP002723,Male,No,2,Graduate,No,3588,0,110,360,0,519,Rural,N
